"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2012","Alabama","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","67"
"2017","Alabama","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","67"
"2022","Alabama","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","67"
"2012","Alabama","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","24"
"2017","Alabama","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","24"
"2022","Alabama","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","25"
"2012","Alabama","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2017","Alabama","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","9"
"2022","Alabama","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","10"
"2012","Alabama","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","15"
"2017","Alabama","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","14"
"2022","Alabama","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","12"
"2012","Alabama","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2017","Alabama","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2022","Alabama","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2012","Alabama","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","15"
"2017","Alabama","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","15"
"2022","Alabama","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","14"
"2012","Alabama","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2017","Alabama","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2022","Alabama","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2012","Alabama","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2017","Alabama","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","2"
"2022","Alabama","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","3"
"2012","Alabama","Government Organization","GO0018","Total population of county governments","001","State and Local","4,779,736"
"2017","Alabama","Government Organization","GO0018","Total population of county governments","001","State and Local","4,874,747"
"2022","Alabama","Government Organization","GO0018","Total population of county governments","001","State and Local","5,039,877"
"2012","Alabama","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","398,673"
"2017","Alabama","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","393,602"
"2022","Alabama","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","422,876"
"2012","Alabama","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,385,655"
"2017","Alabama","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,462,941"
"2022","Alabama","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,655,632"
"2012","Alabama","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","525,113"
"2017","Alabama","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","486,633"
"2022","Alabama","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","436,063"
"2012","Alabama","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","747,803"
"2017","Alabama","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","775,001"
"2022","Alabama","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","808,284"
"2012","Alabama","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,054,981"
"2017","Alabama","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,079,704"
"2022","Alabama","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,023,253"
"2012","Alabama","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","658,466"
"2017","Alabama","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","659,197"
"2022","Alabama","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","667,820"
"2012","Alabama","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","9,045"
"2017","Alabama","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","17,669"
"2022","Alabama","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","25,949"
"2012","Alaska","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","14"
"2017","Alaska","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","15"
"2022","Alaska","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","15"
"2012","Alaska","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","2"
"2017","Alaska","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","2"
"2022","Alaska","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","3"
"2012","Alaska","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","X"
"2017","Alaska","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","1"
"2022","Alaska","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","1"
"2012","Alaska","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2017","Alaska","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2022","Alaska","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2012","Alaska","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","Alaska","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","Alaska","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","Alaska","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2017","Alaska","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2022","Alaska","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2012","Alaska","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Alaska","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Alaska","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","Alaska","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","9"
"2017","Alaska","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","10"
"2022","Alaska","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","9"
"2012","Alaska","Government Organization","GO0018","Total population of county governments","001","State and Local","297,731"
"2017","Alaska","Government Organization","GO0018","Total population of county governments","001","State and Local","327,937"
"2022","Alaska","Government Organization","GO0018","Total population of county governments","001","State and Local","325,627"
"2012","Alaska","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","27,069"
"2017","Alaska","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","27,304"
"2022","Alaska","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","37,513"
"2012","Alaska","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","X"
"2017","Alaska","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","106,532"
"2022","Alaska","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","110,686"
"2012","Alaska","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2017","Alaska","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2022","Alaska","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2012","Alaska","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","Alaska","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","Alaska","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","Alaska","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","241,976"
"2017","Alaska","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","158,320"
"2022","Alaska","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","155,360"
"2012","Alaska","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Alaska","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Alaska","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","Alaska","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","28,686"
"2017","Alaska","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","35,781"
"2022","Alaska","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","22,068"
"2012","Arizona","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","15"
"2017","Arizona","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","15"
"2022","Arizona","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","15"
"2012","Arizona","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","1"
"2017","Arizona","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","1"
"2022","Arizona","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","1"
"2012","Arizona","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","6"
"2017","Arizona","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","6"
"2022","Arizona","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","6"
"2012","Arizona","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","2"
"2017","Arizona","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","2"
"2022","Arizona","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","2"
"2012","Arizona","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2017","Arizona","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2022","Arizona","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","1"
"2012","Arizona","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2017","Arizona","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2022","Arizona","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2012","Arizona","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2017","Arizona","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2022","Arizona","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2012","Arizona","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2017","Arizona","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2022","Arizona","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2012","Arizona","Government Organization","GO0018","Total population of county governments","001","State and Local","6,392,017"
"2017","Arizona","Government Organization","GO0018","Total population of county governments","001","State and Local","7,016,270"
"2022","Arizona","Government Organization","GO0018","Total population of county governments","001","State and Local","7,276,316"
"2012","Arizona","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","20,489"
"2017","Arizona","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","20,601"
"2022","Arizona","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","16,408"
"2012","Arizona","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","980,186"
"2017","Arizona","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,017,390"
"2022","Arizona","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,046,184"
"2012","Arizona","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","84,640"
"2017","Arizona","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","83,678"
"2022","Arizona","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","86,933"
"2012","Arizona","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","375,770"
"2017","Arizona","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","430,237"
"2022","Arizona","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","449,557"
"2012","Arizona","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","125,115"
"2017","Arizona","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","125,107"
"2022","Arizona","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","119,212"
"2012","Arizona","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","4,797,380"
