candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000679,2024,"CARROLL, JERRY LEON",,,P,80.00,80.00,2.00,{C00214999},2022-03-31 00:00:00,C00214999,JERRY CARROLL COMMITTEE FOR PRESIDENT
P00002592,2024,"BENTLEY, THOMAS A",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00843821},,C00843821,THOMAS ALLEN BENTLEY
P00003244,2024,"WINTERBOTTOM, THOMAS FRANCIS",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00549923},,C00549923,THOMAS F WINTERBOTTOM FOR PRESIDENT
P00003814,2024,"MALONE, YEHANNA JOAN M M",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00691121},,C00691121,MALONE FOR PRESIDENT IN 2020
P00004861,2024,"BICKELMEYER, MICHAEL",REPUBLICAN PARTY,Challenger,P,1501.27,1499.35,2.10,{C00553206},2024-12-31 00:00:00,C00553206,COMMITTEE TO ELECT MICHAEL BICKELMEYER
P00005256,2024,"DENAME, MICHAEL",AMERICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00834697},,C00834697,MICHAEL DENAME FOR US PRESIDENT
P00005819,2024,"FARRELL-SMITH, KELAN JOHN MR.",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00638684},,C00638684,KELAN JOHN FARRELL-SMITH FOR PRESIDENT IN 2020
P00006064,2024,"DAVIS, KELVIN GERAD",INDEPENDENT,Challenger,P,0.00,0.00,0.00,{C00650606},2022-03-31 00:00:00,C00650606,DAVIS FOR PRESIDENT
P00006528,2024,"HERZ, DAVID RAPHAEL MR.",REPUBLICAN PARTY,Challenger,P,0.00,90.00,0.00,{C00660647},2024-03-31 00:00:00,C00660647,HERZ FOR PRESIDENT
P00006544,2024,"KABIR, MOHAMMAD",OTHER,,P,0.0,0.0,0.0,{C00661397},,,
P00006734,2024,"HARVEY, TERRANCE JAMES",REPUBLICAN PARTY,,P,0.0,0.0,0.0,{C00725374},,C00725374,
P00006759,2024,"USERA, JOSHUA DAVID",OTHER,Challenger,P,0.0,0.0,0.0,{C00664276},,C00664276,THE U.S. ERA PARTY
P00006973,2024,"MCGLOVER, JOHN WILLIAM",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00667113},,C00667113,INDEPENDENTS AMERICA
P00007278,2024,"BERNHEISEL, JEREMY SHANE",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00827642},,C00827642,BERNHEISEL FOR PRESIDENT
P00007286,2024,"VEGAN, SEXY",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00766139},,C00766139,SEXY VEGAN 4 PRESIDENT
P00007591,2024,"ROOSE, RODGER",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00680140},,C00680140,ROOSE PRESIDENT PRIMARY
